file,line_name,station_name
10号线_龙柏新村.csv,10号线,龙柏新村
8号线_凌兆新村.csv,8号线,凌兆新村
3号线_曹杨路.csv,3号线,曹杨路
9号线_九亭.csv,9号线,九亭
5号线_金平路.csv,5号线,金平路
9号线_松江南站.csv,9号线,松江南站
3号线_淞浜路.csv,3号线,淞浜路
4号线_上海体育场.csv,4号线,上海体育场
8号线_虹口足球场.csv,8号线,虹口足球场
8号线_西藏南路.csv,8号线,西藏南路
4号线_世纪大道.csv,4号线,世纪大道
3号线_淞发路.csv,3号线,淞发路
9号线_松江体育中心.csv,9号线,松江体育中心
1号线_陕西南路.csv,1号线,陕西南路
4号线_海伦路.csv,4号线,海伦路
1号线_彭浦新村.csv,1号线,彭浦新村
13号线_真北路.csv,13号线,真北路
9号线_星中路.csv,9号线,星中路
13号线_大渡河路.csv,13号线,大渡河路
3号线_赤峰路.csv,3号线,赤峰路
2号线_娄山关路.csv,2号线,娄山关路
13号线_祁连山南路.csv,13号线,祁连山南路
3号线_镇坪路.csv,3号线,镇坪路
1号线_汶水路.csv,1号线,汶水路
8号线_江月路.csv,8号线,江月路
12号线_金京路.csv,12号线,金京路
9号线_嘉善路.csv,9号线,嘉善路
7号线_龙阳路.csv,7号线,龙阳路
1号线_延长路.csv,1号线,延长路
13号线_丰庄.csv,13号线,丰庄
13号线_金沙江路.csv,13号线,金沙江路
11号线_安亭.csv,11号线,安亭
8号线_鞍山新村.csv,8号线,鞍山新村
2号线_南京西路.csv,2号线,南京西路
5号线_春申路.csv,5号线,春申路
4号线_临平路.csv,4号线,临平路
2号线_北新泾.csv,2号线,北新泾
2号线_广兰路.csv,2号线,广兰路
7号线_行知路.csv,7号线,行知路
7号线_长寿路.csv,7号线,长寿路
8号线_翔殷路.csv,8号线,翔殷路
