station,total_flow,am_peak_flow,pm_peak_flow,peak_time,peak_flow,dominant_line
邮电新村,21779.0,7646.0,6042.0,08:20,374.0,10号线
华夏东路,21139.0,8042.0,5939.0,07:45,430.0,2号线
云山路,21114.0,7334.0,6190.0,08:05,382.0,6号线
嫩江路,20861.0,6327.0,6104.0,08:10,292.0,8号线
金海路,20738.0,7715.0,5581.0,07:45,520.0,12号线
国际客运中心,20733.0,7986.0,6621.0,08:45,505.0,12号线
松江体育中心,20477.0,6545.0,5247.0,07:15,425.0,9号线
上海游泳馆,20121.0,6922.0,6138.0,08:40,386.0,11号线
松江新城,19601.0,6169.0,4933.0,07:35,295.0,9号线
马陆,19414.0,6615.0,5259.0,07:45,392.0,11号线
临沂新村,19169.0,7381.0,5596.0,08:45,380.0,6号线
源深体育中心,19081.0,6071.0,5502.0,08:35,375.0,6号线
三林东,18919.0,6673.0,5449.0,07:40,309.0,11号线
石龙路,18796.0,6620.0,5270.0,08:15,335.0,3号线
五莲路,18628.0,5536.0,5600.0,08:10,272.0,6号线
浦东国际机场,18503.0,3944.0,3652.0,11:20,201.0,2号线
安亭,18253.0,4857.0,5098.0,07:35,244.0,11号线
高青路,18199.0,6841.0,5133.0,08:15,421.0,6号线
上海图书馆,18145.0,5307.0,4743.0,08:15,233.0,10号线
嘉定西,18090.0,5713.0,5259.0,07:25,340.0,11号线
提篮桥,18072.0,6958.0,5233.0,08:50,424.0,12号线
北桥,18001.0,6432.0,4914.0,07:20,321.0,5号线
衡山路,17468.0,5345.0,4731.0,17:45,244.0,1号线
新场,17258.0,5579.0,4685.0,07:35,339.0,16号线
翔殷路,17236.0,5603.0,4273.0,08:00,261.0,8号线
东陆路,17207.0,6424.0,4876.0,08:00,368.0,12号线
云台路,17167.0,5981.0,4498.0,08:20,274.0,7号线
航中路,17031.0,6812.0,4684.0,07:55,420.0,10号线
浦三路,16768.0,6140.0,4790.0,07:55,298.0,11号线
中华艺术宫,16596.0,3783.0,4279.0,18:20,210.0,8号线
中春路,16352.0,6284.0,4747.0,08:05,323.0,9号线
爱国路,16321.0,5649.0,4710.0,08:05,340.0,12号线
新江湾城,16307.0,6139.0,4672.0,08:20,316.0,10号线
淞浜路,16284.0,5369.0,4186.0,18:50,298.0,3号线
金京路,16223.0,6007.0,4641.0,08:00,437.0,12号线
东明路,16179.0,6001.0,4373.0,08:05,313.0,6号线
金平路,15914.0,5165.0,4148.0,07:30,282.0,5号线
龙溪路,15847.0,5457.0,4413.0,08:35,269.0,10号线
刘行,15753.0,5768.0,3911.0,07:40,360.0,7号线
白银路,15690.0,5366.0,4285.0,07:30,289.0,11号线
民生路,15332.0,5217.0,4515.0,08:10,305.0,6号线
花桥,15330.0,4873.0,3630.0,07:20,281.0,11号线
洞泾,15074.0,5550.0,3748.0,08:05,365.0,9号线
江杨北路,15030.0,5304.0,4034.0,07:30,356.0,3号线
罗南新村,14937.0,4994.0,3978.0,07:25,290.0,7号线
真如,14920.0,5173.0,3805.0,08:40,250.0,11号线
上大路,14909.0,5582.0,4093.0,08:15,285.0,7号线
友谊路,14776.0,5045.0,3682.0,07:50,274.0,3号线
灵岩南路,14726.0,5380.0,4246.0,18:50,284.0,6号线
星中路,14695.0,4570.0,3971.0,08:05,228.0,9号线
上海儿童医学中心,14519.0,5135.0,3414.0,08:10,224.0,6号线
上海动物园,14192.0,4772.0,3627.0,08:10,324.0,10号线
漕溪路,13745.0,4363.0,4028.0,08:45,334.0,3号线
杨高北路,13739.0,4839.0,3919.0,07:50,276.0,12号线
北洋泾路,13339.0,4176.0,3585.0,08:05,184.0,6号线
黄兴公园,13251.0,4428.0,3700.0,08:00,216.0,8号线
剑川路,13211.0,4488.0,3728.0,07:30,280.0,5号线
上南路,12995.0,4778.0,3713.0,08:10,257.0,6号线
航津路,12843.0,4383.0,3618.0,08:15,263.0,6号线
兆丰路,12726.0,4122.0,3465.0,07:40,219.0,11号线
东靖路,12718.0,4866.0,3372.0,07:55,319.0,6号线
祁华路,12418.0,4529.0,3135.0,07:45,268.0,7号线
凌兆新村,12041.0,4118.0,3341.0,07:55,211.0,8号线
银都路,12002.0,4713.0,3708.0,08:10,286.0,5号线
淞发路,11919.0,4424.0,3364.0,08:10,260.0,3号线
华夏西路,11701.0,4346.0,3100.0,07:35,211.0,6号线
大场镇,11578.0,4288.0,3258.0,08:10,254.0,7号线
外高桥保税区南,11537.0,4596.0,3272.0,08:40,327.0,6号线
水产路,11328.0,4131.0,3008.0,08:15,252.0,3号线
虹桥1号航站楼,11259.0,3640.0,2800.0,08:15,440.0,10号线
